id,name,risk_score,risk_category,exposure,sector,geography,trend,trend_value,revenue,ebitda,employee_count,debt_service_coverage,current_ratio,cash_reserves,total_debt,incorporation_date,last_review_date,bank_rating,pd_original,pd_adjusted,score_previous,score_change_reason,score_financial,score_operational,score_market,score_altdata,net_profit_margin,loan_origination_date,sector_health,geography_risk,compliance_status,drawn_amount
0142,TechStart Solutions Ltd,73,critical,250000,Software/Technology,UK,up,14,2400000,420000,45,1.2,1.1,180000,850000,12/03/2015,15/10/2024,BB+,3,5.4,45,CTO departure -12pts; web traffic -42% -8pts; payment delays -5pts,74,74,71,77,10.8,01/03/2017,improving,low,under_review,235000
0287,Urban Fashion Ltd,62,medium,180000,Retail/Fashion,UK,up,8,1800000,280000,32,1.5,1.3,120000,450000,20/07/2016,20/10/2024,BBB-,2.2,3,57,Sector headwinds -4pts; revenue softening -3pts,65,62,61,60,9.6,01/07/2018,deteriorating,medium,compliant,110000
0531,Digital Marketing Hub,58,medium,140000,Marketing Services,UK,up,12,1200000,180000,28,1.8,1.4,95000,280000,10/02/2017,18/10/2024,BBB,1.8,2.4,53,Sector headwinds -4pts; revenue softening -3pts,62,53,54,61,9.3,01/02/2019,deteriorating,low,compliant,65000
0445,GreenLeaf Products,72,critical,320000,Food/Hospitality,UK,stable,2,3200000,580000,52,1.1,0.9,220000,1200000,05/11/2014,12/10/2024,BB,3.8,3.8,72,No significant signal changes in review period,74,75,67,78,11.2,01/11/2016,deteriorating,low,breach,295000
0672,Natural Wellness Ltd,68,critical,210000,Retail/Fashion,EU,up,6,2100000,350000,38,1.3,1.2,150000,680000,15/09/2016,14/10/2024,BB+,3,5.4,54,Key executive change -10pts; EBITDA margin compression -6pts; sector risk +4pts,74,74,71,77,10.3,01/09/2018,deteriorating,medium,watch,170000
0823,GreenTech Energy Ltd,45,stable,300000,Energy/Utilities,UK,down,-3,3500000,680000,65,2.1,1.8,450000,720000,22/05/2013,22/10/2024,BBB+,0.8,0.7,49,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,37,39,47,38,12,01/05/2015,stable,low,compliant,65000
0234,BuildCo Construction,72,critical,420000,Construction,UK,up,8,4200000,580000,78,1.2,1,280000,1800000,14/08/2012,10/10/2024,BB,3.8,8,62,Key executive change -10pts; EBITDA margin compression -6pts; sector risk +4pts,74,75,67,78,8.6,01/08/2014,deteriorating,medium,watch,380000
0456,Retail Fashion Group,68,critical,380000,Retail/Fashion,UK,up,13,3800000,520000,55,1.4,1.1,240000,1100000,18/04/2015,16/10/2024,BB+,3,5.4,54,CEO departure -10pts; revenue decline -8% -6pts; sector headwinds -4pts,74,74,71,77,8.5,01/04/2017,deteriorating,medium,watch,300000
0789,Northern Manufacturing,65,medium,290000,Manufacturing,UK,up,7,2900000,480000,62,1.6,1.3,310000,820000,25/06/2014,19/10/2024,BBB-,2.4,3.2,60,Sector headwinds -4pts; revenue softening -3pts,60,60,65,65,10.3,01/06/2016,stable,low,compliant,185000
0912,DataFlow Analytics,42,stable,180000,Software/Technology,UK,down,-2,1800000,420000,35,2.3,1.9,380000,350000,10/01/2018,23/10/2024,BBB+,0.7,0.6,46,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,38,43,37,42,14.5,01/01/2020,improving,low,compliant,65000
1045,Coastal Logistics Ltd,38,stable,220000,Transportation,UK,stable,0,2200000,385000,48,2.5,2,420000,410000,14/03/2016,21/10/2024,BBB+,0.7,0.7,38,No significant signal changes in review period,33,32,35,31,10.8,01/03/2018,stable,low,compliant,90000
1156,Premium Catering Co,55,medium,195000,Food/Hospitality,UK,up,5,1950000,310000,42,1.7,1.4,185000,520000,08/07/2017,17/10/2024,BBB,1.6,2.2,50,Market exposure increase -4pts; late payments flag -2pts,50,53,61,56,9.9,01/07/2019,deteriorating,low,compliant,90000
1267,Urban Retail Partners,62,medium,275000,Retail/Fashion,EU,up,9,2750000,440000,51,1.5,1.2,205000,780000,20/11/2015,13/10/2024,BBB-,2.2,3,57,Market exposure increase -4pts; late payments flag -2pts,65,62,61,60,9.9,01/11/2017,deteriorating,medium,watch,155000
1378,TechForward Systems,48,stable,165000,Software/Technology,UK,down,-1,1650000,310000,32,2,1.7,295000,380000,15/05/2018,24/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,11.6,01/05/2020,improving,low,compliant,25000
1489,Green Construction Ltd,58,medium,310000,Construction,UK,up,6,3100000,485000,68,1.7,1.3,275000,920000,22/09/2014,11/10/2024,BBB,1.8,2.4,53,Market exposure increase -4pts; late payments flag -2pts,62,53,54,61,9.7,01/09/2016,deteriorating,medium,compliant,155000
1590,Fashion Express UK,64,medium,235000,Retail/Fashion,UK,up,10,2350000,365000,44,1.4,1.1,175000,690000,05/12/2016,15/10/2024,BBB-,2.3,3.1,59,Market exposure increase -4pts; late payments flag -2pts,69,60,66,61,9.6,01/12/2018,deteriorating,medium,watch,135000
1701,Digital Nexus Agency,52,medium,145000,Marketing Services,UK,up,4,1450000,245000,28,1.9,1.5,165000,340000,17/08/2017,20/10/2024,BBB,1.4,1.9,47,Market exposure increase -4pts; late payments flag -2pts,50,51,51,55,10.5,01/08/2019,deteriorating,low,compliant,65000
1812,Highland Foods Ltd,68,critical,285000,Food/Hospitality,UK,up,11,2850000,425000,58,1.3,1,195000,980000,10/04/2013,12/10/2024,BB+,3,5.4,54,CEO departure -10pts; revenue decline -8% -6pts; sector headwinds -4pts,74,74,71,77,9.2,01/04/2015,deteriorating,low,watch,225000
1923,Metro Manufacturing,55,medium,265000,Manufacturing,UK,up,5,2650000,445000,55,1.8,1.4,285000,650000,28/06/2015,18/10/2024,BBB,1.6,2.2,50,Margin pressure -3pts; working capital tightening -2pts,50,53,61,56,10.4,01/06/2017,stable,low,compliant,160000
2034,Bright Software Labs,35,stable,125000,Software/Technology,UK,down,-4,1250000,285000,24,2.6,2.1,325000,220000,20/02/2019,25/10/2024,A,0.7,0.6,39,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,27,37,31,34,14.1,01/02/2021,improving,low,compliant,25000
2145,Capital Consulting Group,32,stable,185000,Professional Services,UK,stable,1,1850000,395000,38,2.8,2.3,445000,310000,12/10/2017,22/10/2024,A,0.6,0.6,32,No significant signal changes in review period,27,28,33,31,13.2,01/10/2019,stable,low,compliant,35000
2256,Eco Products Ltd,58,medium,205000,Retail/Fashion,EU,up,7,2050000,325000,36,1.7,1.3,185000,560000,19/05/2016,16/10/2024,BBB,1.8,2.4,53,Margin pressure -3pts; working capital tightening -2pts,62,53,54,61,9.8,01/05/2018,deteriorating,medium,compliant,120000
2367,Northern Logistics,42,stable,240000,Transportation,UK,stable,0,2400000,425000,52,2.2,1.8,395000,480000,08/09/2015,21/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,11,01/09/2017,stable,low,compliant,50000
2478,Premium Tech Solutions,48,stable,175000,Software/Technology,UK,down,-2,1750000,335000,33,2.1,1.7,305000,390000,25/03/2018,23/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,11.9,01/03/2020,improving,low,compliant,55000
2589,Retail Dynamics Ltd,62,medium,255000,Retail/Fashion,UK,up,8,2550000,385000,47,1.5,1.2,195000,720000,14/12/2015,14/10/2024,BBB-,2.2,3,57,Margin pressure -3pts; working capital tightening -2pts,65,62,61,60,9.4,01/12/2017,deteriorating,medium,watch,165000
2690,Urban Development Co,72,critical,385000,Construction,UK,up,14,3850000,535000,72,1.1,0.9,245000,1650000,22/07/2012,09/10/2024,BB,3.8,8,62,Payment delays x3 -8pts; debt coverage breach -7pts; market contraction -5pts,74,75,67,78,8.6,01/07/2014,deteriorating,medium,breach,365000
2801,Digital Commerce Hub,55,medium,195000,Software/Technology,UK,up,6,1950000,345000,38,1.8,1.5,265000,490000,08/11/2017,19/10/2024,BBB,1.6,2.2,50,Sector headwinds -4pts; revenue softening -3pts,50,53,61,56,11,01/11/2019,improving,low,compliant,90000
2912,Northern Foods Group,65,medium,295000,Food/Hospitality,UK,up,9,2950000,465000,62,1.4,1.1,215000,950000,16/08/2014,13/10/2024,BBB-,2.4,3.2,60,Market exposure increase -4pts; late payments flag -2pts,60,60,65,65,9.8,01/08/2016,deteriorating,low,watch,190000
3023,Fashion Forward Ltd,58,medium,225000,Retail/Fashion,EU,up,7,2250000,355000,42,1.7,1.3,195000,620000,20/04/2016,17/10/2024,BBB,1.8,2.4,53,Sector headwinds -4pts; revenue softening -3pts,62,53,54,61,9.8,01/04/2018,deteriorating,medium,compliant,140000
3134,Tech Innovators Ltd,38,stable,155000,Software/Technology,UK,down,-3,1550000,315000,29,2.4,1.9,345000,310000,15/09/2018,24/10/2024,BBB+,0.7,0.6,42,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,33,32,35,31,12.6,01/09/2020,improving,low,compliant,40000
3245,Manufacturing Solutions,52,medium,245000,Manufacturing,UK,up,5,2450000,415000,51,1.9,1.5,295000,590000,22/11/2015,18/10/2024,BBB,1.4,1.9,47,Margin pressure -3pts; working capital tightening -2pts,50,51,51,55,10.5,01/11/2017,stable,low,compliant,120000
3356,Coastal Retail Partners,62,medium,265000,Retail/Fashion,UK,up,8,2650000,395000,48,1.5,1.2,205000,750000,18/06/2016,15/10/2024,BBB-,2.2,3,57,Market exposure increase -4pts; late payments flag -2pts,65,62,61,60,9.2,01/06/2018,deteriorating,medium,watch,185000
